,link,text,date,No_of_Likes,No_of_tweets
21,https://twitter.com/BabalaTv/status/1708908826286530945#m,"Mevzular Açık Mikrofon’da soru sormak isterseniz bu postun altına #sorumvar yazın ve ekip arkadaşlarımız size ulaşsın.  -Mevzular Açık Mikrofon 100. Yıl Özel programı Prof. Dr. İlber Ortaylı ve Prof. Dr. Celal Şengör’ün katılımıyla gerçekleşecektir.  -Format gereği konularımız “Atatürk, Cumhuriyet ve 100. Yılında Türkiye” bu program özelinde sormak istediğiniz soruları sorabilirsiniz.  -Listede ismi bulunmayan salona kesinlikle alınmayacaktır.  -Profillerinizin Açık Olması Gerekmektedir.  -Konum ve Saat bilgisi davetiye üzerinden paylaşılacaktır.","Oct 2, 2023 · 6:16 PM UTC",9361.0,2945.0
22,https://twitter.com/BabalaTv/status/1707747970957836335#m,Ekonomi 101 | Türkiye’den Gitmenin Maliyetini Konuştuğumuz Bölümüyle Yayında… https://piped.kavin.rocks/fKbDVFcdV_0?si=3FIlEPAqWstbN2o6,"Sep 29, 2023 · 1:23 PM UTC",171.0,13.0
23,https://twitter.com/OguzhanUgur/status/1706710548094619746#m,"Dün, Bugün, Yarın ve DAİMA! 🇹🇷 Mevzular Açık Mikrofon 100. Yıl Özel İlk Tanıtım.","Sep 26, 2023 · 4:41 PM UTC",36885.0,1279.0
24,https://twitter.com/BabalaTv/status/1706340916607213675#m,Ekonomi 101 Yayında… https://piped.kavin.rocks/fKbDVFcdV_0?si=koc4n2gyjfRVzSQj,"Sep 25, 2023 · 4:12 PM UTC",420.0,13.0
25,https://twitter.com/BabalaTv/status/1706340591435407425#m,"Bu bölümümüzde yurt dışına gitmenin kişiye ve ülkemize maliyetini, ülkemize en çok göç veren ülkeleri ve yaşamış birinin gözünden Fransa, Brezilya ve Norveç ülkelerindeki hayatı konuştuk. İyi seyirler! @TheBullduck","Sep 25, 2023 · 4:11 PM UTC",179.0,8.0
26,https://twitter.com/OguzhanUgur/status/1703349205480177868#m,"Mevzular Açık Mikrofon 100. Yıl Özel! 🇹🇷 Konumuz Atatürk, Cumhuriyet ve 100. Yılında Türkiye.  Sizler de gelmek isterseniz, katılım başvurusu için 2 Ekim’i bekleyiniz.  Tarihimizi kitaplardan ya da tanıklardan değil de, dayınızdan, amcanızdan ya da facebook şeyhlerinden öğrendiyseniz, muhakkak gelmelisiniz. #mevzularaçıkmikrofon #gain","Sep 17, 2023 · 10:04 AM UTC",24762.0,725.0
27,https://twitter.com/BabalaTv/status/1703094055628935301#m,Adıyaman’dayız… 04.17,"Sep 16, 2023 · 5:10 PM UTC",1208.0,25.0
28,https://twitter.com/BabalaTv/status/1700232065591935113#m,Mevzular Yeni Bölümüyle Babala Tv’de Yayında!  https://piped.kavin.rocks/0bdLthx0cYc?si=UyWFGRIHt0zY6Y7_,"Sep 8, 2023 · 7:38 PM UTC",198.0,73.0
29,https://twitter.com/TheBullduck/status/1698729600606490734#m,İkinci el araç fiyatları %10 düşmüş. https://m.tr.investing.com/news/economy/ikinci-el-otomobil-fiyatlar-2-yl-sonra-dususe-gecti-2530457,"Sep 4, 2023 · 4:07 PM UTC",657.0,64.0
30,https://twitter.com/BabalaTv/status/1698435542700986807#m,🇹🇷,"Sep 3, 2023 · 8:39 PM UTC",24060.0,72.0
31,https://twitter.com/OguzhanUgur/status/1697108131401126040#m,"Kış yaklaşıyor. Haftaya BabalaTV ekibi depremden etkilenen şehirlerimizi tek tek gezecek ve son durumu memleketle paylaşacak. Sesini duyurmak isteyenlere tekrar mikrofon uzatacağız. Söz vermiştim. Gözyaşınız kuruyana kadar değil, daima yanınızdayız!  @BabalaTv","Aug 31, 2023 · 4:44 AM UTC",19406.0,432.0
